Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
C,Will Smith,27,137,578,508,68,132,26,3,24,87,1,0,56,96,.260,.343,.465,.807,121,236,11,10,0,4,4
1B,Freddie Freeman*,32,159,708,612,117,199,47,2,21,100,13,3,84,102,.325,.407,.511,.918,153,313,6,5,0,7,12
2B,Gavin Lux*,24,129,471,421,66,116,20,7,6,42,7,2,47,95,.276,.346,.399,.745,106,168,3,0,0,3,0
SS,Trea Turner,29,160,708,652,101,194,39,4,21,100,27,3,45,131,.298,.343,.466,.809,122,304,9,3,0,6,1
3B,Max Muncy*,31,136,565,464,69,91,22,1,21,69,2,0,90,141,.196,.329,.384,.713,97,178,2,5,0,6,1
LF,Chris Taylor,31,118,454,402,45,89,25,3,10,43,10,1,44,160,.221,.304,.373,.677,87,150,4,5,0,3,2
CF,Cody Bellinger*,26,144,550,504,70,106,27,3,19,68,14,3,38,150,.210,.265,.389,.654,79,196,7,2,0,6,0
RF,Mookie Betts,29,142,639,572,117,154,40,3,35,82,12,2,55,104,.269,.340,.533,.873,137,305,8,8,0,4,0
DH,Justin Turner,37,128,532,468,61,130,36,0,13,81,3,0,50,89,.278,.350,.438,.788,117,205,13,6,0,8,1
Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
OF,Trayce Thompson,31,74,239,205,35,55,14,1,13,39,4,0,30,86,.268,.364,.537,.901,146,110,2,2,0,2,0
C,Austin Barnes,32,62,212,179,31,38,6,0,8,26,2,1,27,37,.212,.324,.380,.704,95,68,5,3,2,1,0
IF,Hanser Alberto,29,73,159,156,13,38,9,2,2,15,0,1,3,25,.244,.258,.365,.623,70,57,7,0,0,0,0
LF,Joey Gallo*,28,44,137,117,16,19,4,1,7,23,1,0,16,57,.162,.277,.393,.671,83,46,0,3,0,1,0
DH,Edwin Rios*,28,27,92,86,12,21,1,0,7,17,0,1,5,36,.244,.293,.500,.793,115,43,2,1,0,0,1
DH,Jake Lamb*,31,25,77,67,10,16,5,1,2,4,0,1,8,24,.239,.338,.433,.770,112,29,4,2,0,0,0
UT,Miguel Vargas,22,18,50,47,4,8,1,0,1,8,1,0,2,13,.170,.200,.255,.455,25,12,0,0,0,1,0
UT,Eddy Alvarez*,32,14,27,25,1,4,0,0,0,3,1,0,0,9,.160,.154,.160,.314,-13,4,1,0,1,1,0
OF,James Outman*,25,4,16,13,6,6,2,0,1,3,0,0,2,7,.462,.563,.846,1.409,284,11,0,1,0,0,0
UT,Zach McKinstry*,27,10,14,11,4,1,0,0,1,2,0,0,3,4,.091,.286,.364,.649,79,4,0,0,0,0,0
OF,Kevin Pillar,33,4,13,12,1,1,1,0,0,0,0,0,1,4,.083,.154,.167,.321,-11,2,1,0,0,0,0
UT,Tony Wolters*,30,2,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0
Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
P,Tyler Anderson*,32,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
P,Evan Phillips,27,1,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,,0,0,0,0,0,0
P,Michael Grove,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Dustin May,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Jake Reed,29,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Julio Urías*,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Tommy Kahnle,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Phil Bickford,26,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Reyes Moronta,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Craig Kimbrel,34,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Justin Bruihl*,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Andrew Heaney*,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Walker Buehler,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Blake Treinen,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Garrett Cleavinger,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Heath Hembree,33,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,David Price*,36,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Caleb Ferguson,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Daniel Hudson,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Alex Vesia*,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Chris Martin,36,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Ryan Pepiot,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Yency Almonte,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Clayton Kershaw*,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Mitch White,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Robbie Erlin,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Tony Gonsolin,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Andre Jackson,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Shane Greene,33,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
P,Brusdar Graterol,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,Team Totals,29.7,162,6247,5526,847,1418,325,31,212,812,98,18,607,1374,.257,.333,.442,.775,113,2441,85,56,3,53,22
,Rank in 15 NL teams,,,,2,1,2,1,2,3,,5,2,1,8,2,1,2,1,,2,,13,,1,
,Non-Pitcher Totals,29.7,162,6245,5525,847,1418,325,31,212,812,98,18,606,1373,.257,.333,.442,.775,113,2441,85,56,3,53,22
,Pitcher Totals,11.8,162,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,56,0,0,0,0,0,0
Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
